thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
188;0;7;2;6;0;33;17;41;6;4;0;1;2;1;3;1;3;1;0;1;4;20;8;1;3;1;0;1
189;0;4;2;9;0;39;17;33;6;1;0;1;2;1;3;1;3;1;0;1;4;19;8;1;2;1;0;1
190;0;5;2;20;0;45;16;39;6;2;0;1;2;1;3;1;3;1;0;1;4;16;8;1;2;1;0;1
191;0;8;1;35;0;54;16;36;6;2;0;1;1;1;3;1;2;1;0;1;4;13;8;1;2;1;0;1
192;0;15;1;19;0;60;16;38;6;2;0;1;1;1;3;1;2;1;0;1;4;8;8;1;1;1;0;1
193;0;10;1;12;0;58;16;31;6;3;0;1;1;1;3;1;2;1;0;1;3;6;7;1;1;1;0;1
194;0;8;1;10;0;68;16;27;6;1;0;1;1;1;3;1;2;1;0;1;3;5;7;1;1;1;0;1
195;0;8;1;5;0;69;16;20;6;1;0;1;1;1;2;1;2;1;0;1;3;6;7;1;1;1;0;1
196;0;2;1;5;0;66;15;18;6;1;0;1;1;1;2;1;2;1;0;1;3;6;7;1;1;1;0;1
197;0;1;1;2;0;74;15;20;6;1;0;1;1;1;1;1;2;1;0;1;3;8;7;1;1;1;0;1
198;0;1;1;3;0;74;15;19;6;1;0;1;1;1;1;1;2;1;0;1;3;6;7;1;1;1;0;1
199;0;1;1;1;0;78;15;17;6;1;0;1;1;1;1;1;2;1;0;1;3;20;7;1;1;1;0;1
200;0;1;1;1;0;78;14;19;6;1;0;1;1;1;0;1;1;1;0;1;3;17;7;1;1;1;0;1
201;0;1;1;1;0;86;14;24;6;1;0;1;1;1;0;1;1;1;0;1;3;11;7;1;1;1;0;1
202;0;1;1;1;0;76;14;25;6;1;0;1;1;1;0;1;1;1;0;1;3;1;7;1;1;1;0;1
